Model;Param Combo;lb;ub;k_C;k_N;k_O;k_d;YX_CO2;YX_O2;YX_C;YX_N;Xmax;mu_max;pH_LL;pH_UL;I_val;t_lag;t_value_k_C;t_value_k_N;t_value_k_O;t_value_k_d;t_value_YX_CO2;t_value_YX_O2;t_value_YX_C;t_value_YX_N;t_value_Xmax;t_value_mu_max;t_value_pH_LL;t_value_pH_UL;t_value_I_val;t_value_t_lag;RMSE_X;NMRSE_X;MAPE_X;RMSE_C;NMRSE_C;MAPE_C;RMSE_N;NMRSE_N;MAPE_N;RMSE_pH;NMRSE_pH;MAPE_pH;RMSE;NMRSE;MAPE;AIC;BIC
Model_iteration_42;['YX_C', 'YX_N', 'Xmax', 'pH_UL'];[0.35, 10.0, 1.15, 5.5];[0.8, 15.0, 1.2, 21.0];;;;;;;0.617972537;10.0780914;1.155012918;;;8.81173144;;;;;;;;;317.224677;1062.145224;11005.57929;;;177145.6234;;;0.264588072;0.269715086;35.70301813;0.554820883;0.207888922;10.45487909;0.020689606;0.163102411;1.70771089;0.16767141;0.209589263;1.582745431;0.318737675;0.045793542;12.36208838;-83.47094799;-76.71543017
Model_iteration_6;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;13.75466487;;0.1449659;;;;;;;;;;;;768.8048507;;22842.34684;;;;;0.299889397;0.305700457;26.33987239;0.589779692;0.220987832;11.56866497;0.025609208;0.201885115;2.082448577;0.111932775;0.139915969;1.445509954;0.335767224;0.048240204;10.35912397;-83.30697168;-79.92921277
Model_iteration_31;['YX_C'];[0.35];[0.8];;;;;;;0.481600272;;;;;;;;;;;;;;215.2902135;;;;;;;;0.303422704;0.30930223;27.11898387;0.608610828;0.228043775;12.04920324;0.036063763;0.284301528;3.13898183;0.113831436;0.142289295;1.489994548;0.345228427;0.04959951;10.94929087;-83.08391782;-81.39503836
Model_iteration_43;['YX_C', 'YX_N', 'Xmax', 'mu_max'];[0.35, 10.0, 1.15, 0.08];[0.8, 15.0, 1.2, 0.16];;;;;;;0.766278942;12.34507535;1.194674218;0.13697866;;;;;;;;;;;101.4825786;634.1613085;7132.603905;13582.32407;;;;;0.110284791;0.112421817;8.177188456;0.631336253;0.236558891;13.32089344;0.026355979;0.207772139;2.262352593;0.043528568;0.05441071;0.53053455;0.321456674;0.046184185;6.072742259;-82.79140051;-76.0358827
Model_iteration_33;['YX_C', 'Xmax'];[0.35, 1.15];[0.8, 1.2];;;;;;;0.768671936;;1.155163891;;;;;;;;;;;;103.4983217;;11224.38361;;;;;;0.095842573;0.097699747;8.434320626;0.66690695;0.249887073;14.07864193;0.045067657;0.355281949;4.210667158;0.038506765;0.048133456;0.500365206;0.338180626;0.048586941;6.805998729;-82.73401041;-79.3562515
Model_iteration_21;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;12.87779265;;0.148167875;;;;;;;;;;;;843.2834096;;23326.76038;;;;;0.302074975;0.307928386;26.82816232;0.595244935;0.223035634;11.71587318;0.026476963;0.208725895;2.233558659;0.113095801;0.141369751;1.473491558;0.338768916;0.048671462;10.56277143;-82.59496551;-79.2172066
Model_iteration_3;['YX_C', 'YX_N', 'Xmax', 'mu_max'];[0.35, 10.0, 1.15, 0.08];[0.8, 15.0, 1.2, 0.16];;;;;;;0.710021942;10.41834005;1.151640432;0.109236091;;;;;;;;;;;85.09777293;536.253742;4719.260233;9173.621659;;;;;0.10224818;0.104229478;8.21239223;0.633294934;0.2372928;13.47927429;0.027615579;0.217701949;2.348809824;0.057756903;0.072196129;0.730663162;0.322341296;0.04631128;6.192784877;-82.57154961;-75.81603179
Model_iteration_4;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.756678418;;1.185337712;0.117618315;;;;;;;;;;;89.27665577;;5691.609888;10813.60175;;;;;0.106111878;0.108168045;7.948308149;0.649080421;0.243207552;13.83374478;0.045747542;0.360641682;4.261191739;0.049857413;0.062321767;0.670779153;0.330584226;0.047495555;6.678505956;-82.55150454;-77.48486617
Model_iteration_40;['YX_C', 'Xmax'];[0.35, 1.15];[0.8, 1.2];;;;;;;0.791576882;;1.18369923;;;;;;;;;;;;103.3897911;;11277.31318;;;;;;0.109680082;0.111805391;9.476381879;0.666406007;0.249699372;14.06902621;0.044124957;0.347850355;4.104699985;0.042943842;0.053679803;0.564847775;0.339086225;0.04871705;7.053738962;-82.52006826;-79.14230936
Model_iteration_20;['mu_max'];[0.08];[0.16];;;;;;;;;;0.158410004;;;;;;;;;;;;;;24967.31175;;;;;0.308659052;0.314640044;28.33198763;0.611443051;0.229104996;12.14076073;0.035650516;0.281043781;3.102467151;0.117038284;0.146297854;1.556954784;0.347887171;0.049981496;11.28304257;-82.47016594;-80.78128649
Model_iteration_11;['YX_C', 'pH_UL'];[0.35, 5.5];[0.8, 21.0];;;;;;;0.492818152;;;;;7.514249652;;;;;;;;;221.2905392;;;;;142431.5253;;;0.314152325;0.320239763;29.35535677;0.588624919;0.220555144;11.55761504;0.03528596;0.278169873;3.069365193;0.120400796;0.150500995;1.612791744;0.339452659;0.048769696;11.39878219;-82.43366291;-79.055904
Model_iteration_49;['YX_C', 'YX_N', 'Xmax', 'mu_max'];[0.35, 10.0, 1.15, 0.08];[0.8, 15.0, 1.2, 0.16];;;;;;;0.756457228;14.83577537;1.199378439;0.118564234;;;;;;;;;;;91.16997699;439.9023382;5664.630368;10923.22919;;;;;0.111995933;0.114166117;8.086770145;0.633240827;0.237272526;13.45462363;0.03282106;0.258738327;2.76247126;0.050385969;0.062982461;0.669565838;0.322936914;0.046396853;6.243357718;-82.42386297;-75.66834515
Model_iteration_28;['YX_C', 'YX_N', 'Xmax', 'mu_max'];[0.35, 10.0, 1.15, 0.08];[0.8, 15.0, 1.2, 0.16];;;;;;;0.755490528;13.62523494;1.17472809;0.133114447;;;;;;;;;;;98.76457227;544.682025;6825.642258;12861.41623;;;;;0.099413597;0.101339969;7.279596566;0.641040145;0.240194896;13.57416556;0.029619376;0.233498486;2.446978627;0.041198953;0.051498691;0.546171796;0.325342201;0.046742425;5.961728136;-81.83021788;-75.07470006
Model_iteration_9;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;10.23050637;;0.151892178;;;;;;;;;;;;1090.266136;;23907.55287;;;;;0.304445942;0.310345295;27.37174172;0.601125218;0.22523895;11.87289805;0.038792524;0.305813178;3.474180904;0.114446918;0.143058648;1.504101485;0.342287093;0.049176924;11.05573054;-81.76843531;-78.3906764
Model_iteration_1;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;13.44109391;;0.152432288;;;;;;;;;;;;835.5377879;;23988.10613;;;;;0.304888453;0.310796381;27.46313297;0.602214925;0.225647258;11.9004808;0.02542954;0.20046874;2.046018936;0.114694317;0.143367896;1.509236163;0.34257161;0.049217801;10.72971722;-81.70196504;-78.32420613
Model_iteration_26;['YX_C', 'YX_N', 'Xmax'];[0.35, 10.0, 1.15];[0.8, 15.0, 1.2];;;;;;;0.791024532;10.1037949;1.192370598;;;;;;;;;;;;104.2383687;853.2439494;11197.94826;;;;;;0.114428693;0.116646017;9.773563618;0.657040206;0.246190048;13.84765931;0.026027092;0.205179423;2.224035167;0.044607972;0.055759965;0.582888968;0.334463391;0.04805288;6.607036766;-81.61822803;-76.55158967
Model_iteration_21;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.780520384;;1.189312918;0.134042302;;;;;;;;;;;97.57844524;;6934.526443;13141.91799;;;;;0.106687145;0.108754458;7.599643286;0.657731229;0.246448971;13.96531042;0.044673145;0.352171887;4.154694159;0.042927856;0.05365982;0.546304421;0.334600885;0.048072634;6.566488071;-81.58534777;-76.51870941
Model_iteration_19;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;14.41292105;;0.153860068;;;;;;;;;;;;787.7481724;;24220.50305;;;;;0.305810101;0.311735889;27.67307915;0.604482526;0.226496919;11.95988615;0.02496635;0.196817277;2.081204327;0.115244328;0.14405541;1.520892061;0.343810819;0.04939584;10.80876542;-81.41309749;-78.03533858
Model_iteration_44;['YX_C', 'YX_N', 'Xmax', 'mu_max'];[0.35, 10.0, 1.15, 0.08];[0.8, 15.0, 1.2, 0.16];;;;;;;0.361771488;11.43012695;1.193900146;0.109612721;;;;;;;;;;;174.0563455;507.6269647;4763.819321;9476.988208;;;;;0.113886453;0.11609327;8.809737596;0.641222609;0.240263265;12.34907534;0.027894576;0.219901364;2.406069724;0.057582602;0.071978252;0.754009183;0.327196586;0.047008847;6.079722961;-81.37552878;-74.62001097
Model_iteration_3;['YX_C', 'pH_UL'];[0.35, 5.5];[0.8, 21.0];;;;;;;0.751404081;;;;;8.400547419;;;;;;;;;216.283957;;;;;936624.9093;;;0.440068058;0.448595408;51.74049259;0.4886455;0.183093299;8.588606313;0.030633732;0.241494957;2.576418638;0.202855176;0.25356897;2.458779393;0.344428138;0.049484531;16.34107423;-81.26958474;-77.89182583
Model_iteration_6;['YX_C', 'mu_max'];[0.35, 0.08];[0.8, 0.16];;;;;;;0.472083372;;;0.131717912;;;;;;;;;;;201.0327536;;;20938.14377;;;;;0.290202705;0.295826062;24.14817283;0.614923143;0.230408972;12.07221292;0.037170703;0.29302787;3.23787117;0.107462699;0.134328373;1.317733285;0.344702036;0.049523882;10.19399755;-81.20599188;-77.82823297
Model_iteration_12;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.79263205;;1.197737867;0.135620476;;;;;;;;;;;97.75610075;;7062.894636;13443.86378;;;;;0.111622372;0.113785317;8.128184142;0.66316173;0.248483756;14.08524425;0.044323611;0.349416403;4.116169857;0.04414082;0.055176025;0.539819984;0.33769662;0.048517403;6.717354559;-80.84858887;-75.78195051
Model_iteration_48;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.776954894;;1.174381875;0.137186947;;;;;;;;;;;98.29740244;;7119.75054;13439.75353;;;;;0.100012013;0.10194998;7.509220769;0.665876105;0.24950082;14.13887567;0.044995685;0.354714566;4.193998083;0.040426194;0.050532743;0.519523844;0.338028208;0.048565043;6.590404592;-80.77007446;-75.7034361
Model_iteration_49;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.7744406;;1.198114324;0.114328308;;;;;;;;;;;85.74782253;;5273.652506;10273.94961;;;;;0.112995817;0.115185376;8.444738594;0.664018078;0.248804625;14.19547681;0.045576103;0.359290176;4.237483873;0.053387226;0.066734032;0.709426813;0.338605759;0.048648021;6.896781522;-80.63350418;-75.56686582
Model_iteration_14;['YX_C', 'YX_N'];[0.35, 10.0];[0.8, 15.0];;;;;;;0.480327035;14.44293103;;;;;;;;;;;;;215.7578827;763.8759629;;;;;;;0.303329049;0.30920676;27.10699054;0.613751542;0.229969978;12.17559227;0.025210619;0.198742917;2.108413066;0.1137897;0.142237125;1.489287599;0.347233041;0.049887516;10.72007087;-80.62073096;-77.24297205
Model_iteration_50;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.77225327;;1.199771029;0.111644805;;;;;;;;;;;83.94798011;;5017.31457;9871.972372;;;;;0.115076967;0.117306853;8.743252776;0.663699891;0.248685402;14.19322248;0.045712469;0.360365196;4.250005064;0.055838741;0.069798426;0.736610245;0.338728449;0.048665648;6.980772642;-80.60452225;-75.53788389
Model_iteration_8;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;12.65243997;;0.158654318;;;;;;;;;;;;925.6643601;;25012.90662;;;;;0.308683205;0.314664666;28.35015325;0.611501923;0.229127055;12.1436504;0.026487044;0.208805366;2.315214017;0.117075728;0.146344661;1.557889474;0.347716915;0.049957035;11.09172679;-80.50932742;-77.13156851
